Attenuation [dB], UCS Amplitude [mV/dBm], UCS Power [dBm], CS Amplitude [mV/dBm], CS Power [dBm]
54.000000, 2.119139, -49.978560, 2.150572, -52.006273
54.500000, 2.120359, -50.340142, 2.151182, -52.093073
55.000000, 2.127683, -50.451092, 2.153624, -52.145142
55.500000, 2.134397, -50.815349, 2.151792, -52.191704
56.000000, 2.134093, -50.918768, 2.154844, -52.185238
56.500000, 2.139280, -51.247420, 2.156370, -52.233370
57.000000, 2.135924, -51.332024, 2.154539, -52.228929
57.500000, 2.140501, -51.576344, 2.152097, -52.284537
58.000000, 2.138975, -51.581575, 2.155760, -52.310986
58.500000, 2.147215, -51.788717, 2.158507, -52.317831
59.000000, 2.147215, -51.786465, 2.156980, -52.323951
59.500000, 2.149046, -51.912595, 2.156981, -52.348247
60.000000, 2.150877, -52.008532, 2.156981, -52.333528
60.500000, 2.153319, -52.144241, 2.157896, -52.382792
61.000000, 2.154844, -52.145617, 2.161558, -52.386156
61.500000, 2.154844, -52.232592, 2.159422, -52.401491
62.000000, 2.155455, -52.210184, 2.157896, -52.403785
62.500000, 2.157286, -52.257250, 2.159422, -52.406759
63.000000, 2.158201, -52.234766, 2.157591, -52.397109
