Attenuation [dB], UCS Amplitude [mV/dBm], UCS Power [dBm], CS Amplitude [mV/dBm], CS Power [dBm]
0.000000, 0.853271, 1.507212, 1.015929, -4.722889
0.500000, 0.852050, 1.540015, 1.015319, -4.685514
1.000000, 0.849914, 1.632415, 1.013183, -4.613040
1.500000, 0.849914, 1.641438, 1.012878, -4.611941
2.000000, 0.849914, 1.652711, 1.013488, -4.634645
2.500000, 0.850219, 1.658147, 1.013488, -4.651175
3.000000, 0.851440, 1.623312, 1.015319, -4.700711
3.500000, 0.851440, 1.613920, 1.015624, -4.722509
4.000000, 0.853271, 1.557872, 1.017761, -4.790889
4.500000, 0.853881, 1.540105, 1.018371, -4.807107
5.000000, 0.856323, 1.444469, 1.021117, -4.913488
5.500000, 0.856933, 1.419891, 1.021727, -4.943833
6.000000, 0.861511, 1.266988, 1.025694, -5.113907
6.500000, 0.862579, 1.221484, 1.026610, -5.151367
7.000000, 0.869140, 0.982386, 1.032714, -5.373595
7.500000, 0.870666, 0.915976, 1.034240, -5.441294
8.000000, 0.879058, 0.603249, 1.041869, -5.734939
8.500000, 0.881194, 0.511789, 1.044005, -5.826958
9.000000, 0.893706, 0.024931, 1.055602, -6.310427
9.500000, 0.896605, -0.094896, 1.058654, -6.428829
10.000000, 0.912323, -0.716134, 1.073913, -7.052560
10.500000, 0.916442, -0.859178, 1.077880, -7.203544
11.000000, 0.933837, -1.549410, 1.095275, -7.888839
11.500000, 0.938262, -1.709093, 1.099242, -8.059084
12.000000, 0.956268, -2.412510, 1.117552, -8.766827
12.500000, 0.960845, -2.578803, 1.121825, -8.927970
13.000000, 0.979613, -3.309196, 1.140135, -9.665484
13.500000, 0.983733, -3.478332, 1.144408, -9.839596
14.000000, 1.003112, -4.246865, 1.163635, -10.619753
14.500000, 1.007690, -4.427803, 1.168211, -10.794782
15.000000, 1.026916, -5.186377, 1.187438, -11.577815
15.500000, 1.031645, -5.373764, 1.192016, -11.757274
16.000000, 1.050719, -6.127413, 1.210936, -12.514395
16.500000, 1.055449, -6.327352, 1.215514, -12.716070
17.000000, 1.074828, -7.104990, 1.234588, -13.495963
17.500000, 1.079711, -7.305852, 1.239317, -13.693144
18.000000, 1.101073, -8.139840, 1.260375, -14.530813
18.500000, 1.105650, -8.338546, 1.265563, -14.724284
19.000000, 1.125030, -9.102246, 1.284941, -15.512820
19.500000, 1.130370, -9.304085, 1.289519, -15.708824
20.000000, 1.149901, -10.102274, 1.309203, -16.509889
20.500000, 1.155089, -10.300298, 1.313781, -16.696076
21.000000, 1.174163, -11.088163, 1.333006, -17.480316
21.500000, 1.179198, -11.290675, 1.337889, -17.681596
22.000000, 1.199340, -12.112339, 1.358337, -18.495119
22.500000, 1.204223, -12.302554, 1.363219, -18.682797
23.000000, 1.223754, -13.093481, 1.382445, -19.470300
23.500000, 1.228484, -13.288621, 1.387175, -19.660187
24.000000, 1.246032, -13.976346, 1.404723, -20.351027
24.500000, 1.250914, -14.174988, 1.409301, -20.551326
25.000000, 1.270141, -14.961340, 1.428832, -21.334635
25.500000, 1.275023, -15.165459, 1.433715, -21.537629
26.000000, 1.295165, -15.996314, 1.453551, -22.361446
26.500000, 1.300047, -16.183604, 1.458128, -22.560519
27.000000, 1.319274, -16.966969, 1.477050, -23.339279
27.500000, 1.324461, -17.162202, 1.482543, -23.542186
28.000000, 1.343993, -17.948576, 1.502074, -24.319673
28.500000, 1.348571, -18.139790, 1.506652, -24.526123
