Attenuation [dB], UCS Amplitude [mV/dBm], UCS Power [dBm], CS Amplitude [mV/dBm], CS Power [dBm]
29.000000, 1.367949, -18.911933, 1.525267, -25.306895
29.500000, 1.372679, -19.111640, 1.530760, -25.511775
30.000000, 1.392821, -19.929120, 1.550597, -26.341814
30.500000, 1.397704, -20.130001, 1.555174, -26.535880
31.000000, 1.417235, -20.913351, 1.574705, -27.315005
31.500000, 1.421965, -21.115968, 1.579894, -27.516222
32.000000, 1.426085, -21.260321, 1.583861, -27.682063
32.500000, 1.446532, -22.143915, 1.604308, -28.516196
33.000000, 1.450652, -22.293222, 1.608885, -28.685588
33.500000, 1.471862, -23.229840, 1.630552, -29.631456
34.000000, 1.475828, -23.389568, 1.634825, -29.793595
34.500000, 1.496275, -24.231898, 1.655578, -30.631656
35.000000, 1.500548, -24.397426, 1.659239, -30.793920
35.500000, 1.520690, -25.262815, 1.680296, -31.649640
36.000000, 1.525267, -25.431580, 1.683654, -31.813306
36.500000, 1.545103, -26.294554, 1.704406, -32.660545
37.000000, 1.549681, -26.459732, 1.708220, -32.827844
37.500000, 1.570433, -27.319479, 1.729735, -33.698329
38.000000, 1.574553, -27.494821, 1.734008, -33.869233
38.500000, 1.594847, -28.306228, 1.753233, -34.698493
39.000000, 1.598967, -28.481627, 1.757201, -34.863079
39.500000, 1.616210, -29.181731, 1.773527, -35.543201
40.000000, 1.620787, -29.361965, 1.778258, -35.723084
40.500000, 1.640166, -30.184422, 1.797179, -36.517239
41.000000, 1.644896, -30.365915, 1.801451, -36.701079
41.500000, 1.665037, -31.183623, 1.822202, -37.578727
42.000000, 1.669310, -31.371222, 1.826170, -37.760205
42.500000, 1.688841, -32.176240, 1.844175, -38.574082
43.000000, 1.693418, -32.365254, 1.848448, -38.741288
43.500000, 1.712340, -33.167032, 1.866758, -39.550448
44.000000, 1.717070, -33.342879, 1.871641, -39.748285
44.500000, 1.736754, -34.142511, 1.889037, -40.547427
45.000000, 1.741027, -34.319097, 1.893919, -40.707977
45.500000, 1.760710, -35.143491, 1.911620, -41.572122
46.000000, 1.764982, -35.329659, 1.916044, -41.745177
46.500000, 1.784666, -36.121124, 1.933592, -42.552392
47.000000, 1.788328, -36.308645, 1.937864, -42.732448
47.500000, 1.807554, -37.077692, 1.953124, -43.445956
48.000000, 1.812132, -37.273663, 1.957243, -43.664602
48.500000, 1.830137, -38.056655, 1.973112, -44.389238
49.000000, 1.835478, -38.251169, 1.977079, -44.577066
49.500000, 1.853941, -39.113595, 1.994627, -45.492455
50.000000, 1.858519, -39.318358, 1.997831, -45.677093
50.500000, 1.876829, -40.101336, 2.012327, -46.470003
51.000000, 1.881560, -40.307876, 2.016599, -46.684445
51.500000, 1.899107, -41.083394, 2.031249, -47.468881
52.000000, 1.903227, -41.281927, 2.034300, -47.688242
52.500000, 1.920470, -42.056485, 2.048033, -48.429883
53.000000, 1.924894, -42.261449, 2.051084, -48.649899
53.500000, 1.942136, -43.093512, 2.063597, -49.484506
54.000000, 1.946867, -43.272071, 2.065733, -49.734298
54.500000, 1.963194, -44.057061, 2.078245, -50.479019
55.000000, 1.966856, -44.254089, 2.080077, -50.665882
55.500000, 1.980895, -44.928484, 2.088621, -51.305453
56.000000, 1.984862, -45.136265, 2.090452, -51.520971
56.500000, 2.000120, -45.910159, 2.099608, -52.287380
57.000000, 2.004087, -46.109603, 2.100828, -52.487759
57.500000, 2.019499, -46.933658, 2.109068, -53.317831
58.000000, 2.023008, -47.127353, 2.111204, -53.522945
58.500000, 2.037657, -47.889738, 2.117613, -54.287498
59.000000, 2.041014, -48.086816, 2.118834, -54.480877
59.500000, 2.053526, -48.878704, 2.124937, -55.256286
60.000000, 2.055967, -49.086609, 2.126158, -55.458121
60.500000, 2.068174, -49.858549, 2.130125, -56.185918
61.000000, 2.070615, -50.056655, 2.131651, -56.379639
61.500000, 2.081297, -50.861825, 2.135008, -57.240557
62.000000, 2.084348, -51.049302, 2.136839, -57.345822
62.500000, 2.093504, -51.807593, 2.139280, -58.150390
63.000000, 2.096098, -52.047105, 2.139890, -58.375397
